,Fecha,Nombre,Nombre de la tienda,Tipo de tienda,Cuenta con un establecimiento,Exibe sus produuctos afuera,Venta de productos frescos,Numero de clientes en la tienda,Aparatos electronicos en la tienda,Cambios de tamaño en tienda el año pasado,Cambio de promedio del salario de los empleados en el año pasado,Revisiones mensuales de las finanzas,Conección de internet,Canales de Venta,Metodos de pago,Herramientas para la relacion con los clientes,Servicios,Entregas a domicilio,Cambios producidos por la pandemia,Organización frecuente de los estantes
0,"November 12, 2022",Salomon Abdala Perez,Eugene’s Compostura,Tailor,yes,no,no,2,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,yes,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Redes sociales,Sin registro,Sin registro,Sin registro,Semestralmente
1,"November 12, 2022",Salomon Abdala Perez,Frutas y verduras Angy,Grocery store (aka. nanostore),no,yes,yes,0,Dataphone (i.e. card payments),Aumentó 15%,No cambió,yes,yes,WhatsApp,"Efectivo,Transferencia interbancaria",Aplicación móvil,Sin registro,Sin registro,Sin registro,Sin registro
2,"November 12, 2022",Salomon Abdala Perez,Libélula ,Grocery store (aka. nanostore),yes,no,no,0,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer)",No cambió,No cambió,yes,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Redes sociales,Sin registro,Sin registro,Sin registro,Semanalmente
3,"November 12, 2022",Salomon Abdala Perez,Quality fix,Grocery store (aka. nanostore),no,no,no,0,POS system (i.e. computer + bar code scanner + printer),No cambió,No cambió,yes,yes,Llamada a Teléfono fijo,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Teléfono,Sin registro,Sin registro,Sin registro,Semanalmente
4,"November 12, 2022",Salomon Abdala Perez,Artesanías Los Pinos,Grocery store (aka. nanostore),yes,no,no,0,Smartphone,No cambió,No cambió,yes,yes,Llamada a Teléfono celular,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Sin registro,Sin registro,Sin registro,Sin registro,Mensualmente
5,"November 12, 2022",Salomon Abdala Perez,La fête,Cafeteria,no,no,yes,0,"Dataphone (i.e. card payments),Security cameras,Smartphone",No cambió,No cambió,yes,yes,Sin registro,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Sin registro,Sin registro,Sin registro,Diariamente
6,"November 12, 2022",Salomon Abdala Perez,Yo reparo,Technology Store,yes,yes,no,1,Smartphone,No cambió,No cambió,no,yes,WhatsApp,"Efectivo,Transferencia interbancaria",Redes sociales,Sin registro,Sin registro,Sin registro,Semanalmente
7,"November 12, 2022",Salomon Abdala Perez,Miscenlánea Manolos,Grocery store (aka. nanostore),yes,no,yes,0,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",Aumentó 50% o más,No cambió,yes,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Sin registro,Sin registro,Sin registro,Semanalmente
8,"November 12, 2022",Salomon Abdala Perez,Mundo Ciclista,Retailer store,yes,no,no,0,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",No cambió,No cambió,yes,yes,"Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Sin registro,Sin registro,Sin registro,Semanalmente
9,"November 12, 2022",Salomon Abdala Perez,Copias & Max,Grocery store (aka. nanostore),yes,no,no,0,Smartphone,Aumentó 25%,No cambió,yes,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Efectivo,Sin registro,Sin registro,Sin registro,Sin registro,Diariamente
